bin name	MAG	prodigal_count	mag	domain	completion	redundancy	total_length	domain	phylum	class	order	family	genus	depth!d10	depth!d20	depth!d30	depth!d40	depth!d70	depth!d90	depth!d110	depth!d130	depth!d150	depth!d170	depth!d190	depth!d200	depth!d210	depth!d220	depth!d230	depth!d240	cluster_members	closest_cluster_member	furthest_cluster_member
s_SalMarSW160110MG_3_8930491_Bin_18_1_contigs	s_SalMarSW160110MG_3_8930491_Bin_18_1	2934	s_SalMarSW160110MG_3_8930491_Bin_18_1	BACTERIA	90.14	4.23	3204791	Bacteria	Acidobacteriota	Thermoanaerobaculia	Thermoanaerobaculales	10-Feb	unknown	0.703161635	0.209078132	0.030337759	0.00667581	0.010930225	0.020518822	0.001445887	0.001107247	8.32456E-05	0.003758174	0.001570351	0.000907619	0.000445323	0.000308736	0.000436433	0.009234601	1	0	0
s_SalMarSW160110MG_3_8930491_Bin_23_1_contigs	s_SalMarSW160110MG_3_8930491_Bin_23_1	3157	s_SalMarSW160110MG_3_8930491_Bin_23_1	BACTERIA	91.55	4.23	3073360	Bacteria	Proteobacteria	Gammaproteobacteria	Thiohalobacterales	Thiohalobacteraceae	unknown	2.204817252	0.196802238	0.116143742	0.074949305	0.107368203	0.165095373	0.006936862	0.006691974	0.002088413	0.007350665	0.011005388	0.009234601	0.012912763	0.002907938	0.001488722	0.111342977	1	0	0
s_SalMarSW160110MG_3_8930491_Bin_3_2_contigs	s_SalMarSW160110MG_3_8930491_Bin_3_2	3587	s_SalMarSW160110MG_3_8930491_Bin_3_2	BACTERIA	84.51	1.41	3665163	Bacteria	Desulfobacterota	Desulfobacteria	Desulfatiglandales	unknown	unknown	1.888447696	2.922167812	3.338222731	0.730779769	0.257124569	0.261878457	0.019620093	0.009427763	0.004408783	0.009747814	0.010415395	0.011747325	0.01693118	0.006804316	0.003783229	0.025839265	9	99.49	98.94
s_SalMarSW160110MG_3_8930491_Bin_32_contigs	s_SalMarSW160110MG_3_8930491_Bin_32	4023	s_SalMarSW160110MG_3_8930491_Bin_32	BACTERIA	98.59	4.23	4132911	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Anderseniellaceae	unknown	0.88970527	0.127495044	0.01741853	0.025723691	0.02579643	0.0417618	0.001354559	0.001449928	0.000599691	0.001672994	0.002797213	0.001767554	0.001910607	0.001327888	0.001191301	0.027921213	1	0	0
s_SalMarSW160110MG_3_8930491_Bin_34_contigs	s_SalMarSW160110MG_3_8930491_Bin_34	1859	s_SalMarSW160110MG_3_8930491_Bin_34	BACTERIA	85.92	4.23	1710506	Bacteria	Proteobacteria	Zetaproteobacteria	Mariprofundales	Mariprofundaceae	unknown	0.41414997	0.115872183	0.013406579	0.011773187	0.010088879	0.021706082	0.000475227	0.000805785	0.000577062	0.000512405	0.002129632	0.002396341	0.001325464	0.000540692	6.14239E-05	0.028643752	2	98.99	98.99
s_SalMarSW160110MG_3_8930491_Bin_37_1_contigs	s_SalMarSW160110MG_3_8930491_Bin_37_1	2161	s_SalMarSW160110MG_3_8930491_Bin_37_1	ARCHAEA	96.05	1.32	2093298	Archaea	Crenarchaeota	Bathyarchaeia	B26-1	UBA233	unknown	0.649171626	0.451611287	0.110586493	0.077038527	0.061073965	0.066771842	0.011891994	0.00141275	0.040308639	0.005444907	0.023134996	0.005146678	0.010012099	0.023941589	0.007239132	0.020361221	3	99.86	99.65
s_SalMarSW160110MG_3_8930491_Bin_5_1_contigs	s_SalMarSW160110MG_3_8930491_Bin_5_1	3123	s_SalMarSW160110MG_3_8930491_Bin_5_1	BACTERIA	98.59	4.23	3209008	Bacteria	Bacteroidota	Ignavibacteria	Ignavibacteriales	Ignavibacteriaceae	unknown	0.339339677	0.057968824	0.005481277	0.003327398	0.005488551	0.009030124	0.000136587	6.86978E-05	6.46568E-05	0.000219025	0.000594034	0.000456638	0.000188313	8.40538E-05	2.10134E-05	0.00510061	1	0	0
s_SalMarSW160110MG_4_8867924_Bin_13_1_contigs	s_SalMarSW160110MG_4_8867924_Bin_13_1	2221	s_SalMarSW160110MG_4_8867924_Bin_13_1	BACTERIA	88.73	5.63	2428684	Bacteria	Planctomycetota	Phycisphaerae	SG8-4	SG8-4	SG8-4	0.076858296	0.000783963	0.026882663	0.033942373	0.101884502	0.279112715	0.194353364	0.052038991	0.057808799	0.02101183	0.025170067	0.037404742	0.067024811	0.063539004	0.001987387	0.021685068	1	0	0
s_SalMarSW160110MG_4_8867924_Bin_13_2_contigs	s_SalMarSW160110MG_4_8867924_Bin_13_2	2069	s_SalMarSW160110MG_4_8867924_Bin_13_2	BACTERIA	81.69	0	2235696	Bacteria	Planctomycetota	Phycisphaerae	SG8-4	SG8-4	unknown	0.004355441	0.000183464	0.014110529	0.021662438	0.034789377	0.068545861	0.11775612	0.004782175	0.007757194	0.007614141	0.006695207	0.007097696	0.010574613	0.035274302	0.000703142	0.01440795	1	0	0
s_SalMarSW160110MG_4_8867924_Bin_23_1_contigs	s_SalMarSW160110MG_4_8867924_Bin_23_1	4046	s_SalMarSW160110MG_4_8867924_Bin_23_1	BACTERIA	95.77	4.23	4524433	Bacteria	Chloroflexota	Anaerolineae	unknown	unknown	unknown	1.158244989	0.005596851	0.022451251	0.03546019	0.295645448	0.560284748	0.499249578	0.562234958	0.19667535	0.107219493	0.026598982	0.168382361	0.003964267	0.128868192	0.000360461	0.003124538	3	99.98	99.96
